Wallet,Pattern ID,Role,Date Decouverte,Score Initial,Score Qualify,Statut,Date Debut Surveillance,Jours Suivis,Nb Trades,PnL (SOL),PnL (USD),Win Rate (%),Lien Tracker,Date Decision,Notes
DYvNV6AXYoR66K4wfnvzNDLtiCmKH28J639Qv6MFsKup,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 8 tokens seul (dev_tokens=8) -- jamais un pattern CEX valide, meme score eleve"
DASHpr1iYuzDeK9aaWvQmPex8vD3fytS81Leybgf4AXV,,createur,2026-08-06,100,reject,Ecarte,,0,,,,,,2026-08-06,"spray: wallet createur de 9 tokens seul (dev_tokens=9) -- jamais un pattern CEX valide, meme score eleve"
AWy3ufz4gqKNieYKj9yZksEJ7qDDKD2Rh65Farm5u77L,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"Funded by: DQ5JWbJyWdJeyBxZuuyu36sUBud6L6wo3aN1QC1bRmsR / hub (0.96699486 SOL). funding source is a generic hub wallet (not a named CEX), 0 siblings within hair-thin +/-0.0001 SOL band (200 candidate wallets scanned, exhaustive) -- isolated funding event, not a reusable pattern"
C4udGwTg6oqcrr8SmSLmkcXDbaFEcopsiaT21KUE4psU,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"Funded by: DQoHekYR7sdM84gpzHiQmfLgUpRjeoFVSW2PU55TkMkM (2.224189432 SOL). funding source is a generic wallet (not a named CEX), not a reusable CEX method"
CLAmTzThLuzUz2vuBemuPCsKCdrEaQcSTrGh3fGdZCBj,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"Funded by: F3nEommdrJkufpVcpgmuEYKhXrmsgSUNwMQMfnrUjNF9 (4.813310203 SOL). funding source is a generic wallet (not a named CEX) -- also a known spray creator (dev_tokens=15), not a reusable CEX method"
FmJ2qXyrmhk1NRUZQ8czY5CWn7QEQTrMNCiwsH5ugFpp,P-002,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"funded by exchange (Binance), hair-thin +/-0.0001 scan (4 pages, 800 wallets scanned) -- 0 siblings matched besides itself, isolated funding event, sample n=1 coverage 68.6h outcome lose -- not a reusable pattern"
4f5s927ybxjQc7Qe8C3NnBMWrCSURCSZmWB6Fvtt3Nf4,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"Funded by: 4LBEBNefj5e8BJbL1xdvoYQQHEPzTK14pWSrgoAkAPe2 (2.3 SOL). funding source is a generic wallet (not a named CEX), not a reusable CEX method"
x6eyKznnN34RHe1wJVPMNvSnUuHp28P5FkKGyTK3zZR,P-003,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"funded by exchange (KuCoin), hair-thin +/-0.0001 scan exhaustive (2 pages, 200 wallets scanned) -- 0 siblings matched besides itself, isolated funding event -- not a reusable pattern"
8C2DSuTZ4Fy3E9hc26oS9JFaSRszm4BRYvZd1vTWyNnx,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"Funded by: B48kNVXs4YK4amkBCH2XokQiv1SeiVQGHDR17xDeKAAn / hub (1.15443552 SOL). funding source is a generic hub wallet (not a named CEX), not a reusable CEX method"
J2GyrXgaqF4Z7kBXd8eAQZ3TSepNkSfDAW24jHuzobcV,,createur,2026-08-06,95,reject,Ecarte,,0,,,,,,2026-08-06,"Funded by: DsKi6KALKMRfV1kGjMpenzVAfD5mZydJt5W6jVzeXWbG (10 SOL). funding source is a generic wallet (not a named CEX), not a reusable CEX method"
